ID, Name, Age, GradeA, GradeAWin, GradeALoss, Grade1, Grade1Win, Grade1Loss, GradeB1, GradeB1Win, GradeB1Loss, GradeB2, GradeB2Win, GradeB2Loss, Grade2, Grade2Win, Grade2Loss, Score, Rating
100177889, Marco MOREIRA, 18, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3333333333333333, 1
100179253, Nikolai PARODI, 18, 0, 0, 0, 3, 0, 3, 2, 0, 2, 0, 0, 0, 0, 0, 0, 5.2, 2
100184198, Alberto BRONZETTI, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0
100184714, Tobias PUERRER, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
100189911, Mihail KUSESKI, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0
100195340, Frederic FIBLEUIL, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100198625, Rimpei KAWAKAMI, 16, 3, 0, 3, 3, 0, 3, 3, 0, 3, 0, 0, 0, 4, 0, 4, 14.692307692307692, 2
100201355, Leandro MARIANI, 18, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100203361, Dmitry GONCHAROV, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100207883, Alexandros SKORILAS, 17, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 11, 0, 11, 10.666666666666666, 2
100208092, Stefan RADOVANOVIC, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100208702, Charles TZICAS, 18, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 5, 0, 5, 4.125, 1
100215839, Eric Tudor ADOCHITEI PANDELEA, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0
100224872, Cameron BOWIE, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100225386, Tanaka S CHABATA, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100229867, Andrei Bogdan JIANU, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100230619, Goncalo FERREIRA, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100241781, Carlos VICENTE MARTINEZ, 16, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100247680, Justin LIEBENBERG, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100248150, Julian ROBINSON, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100250492, Jose Rene MEJIA, 18, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100255205, Young Min JOO, 17, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0
